Customer Id,ZIP_CODE,FRE,MON,CC_CARD,AVRG,PSWEATERS,PKNIT_TOPS,PKNIT_DRES,PBLOUSES,PJACKETS,PCAR_PNTS,PCAS_PNTS,PSHIRTS,PDRESSES,PSUITS,POUTERWEAR,PJEWELRY,PFASHION,PLEGWEAR,PCOLLSPND,GMP,PROMOS,DAYS,MARKDOWN,CLUSTYPE,PERCRET,ln days between purchases,ln lifetime ave time betw visits
9.9556E+12,1001,2,368.46,0,184.23,0.18,0,0,0.3,0,0.25,0,0.19,0,0,0,0,0.02,0.03,0.29,0.6,17,666,0.08,10,0,5.81,4.71
9.9556E+12,1028,4,258,1,64.5,0.26,0.16,0,0,0,0.18,0.14,0,0.18,0,0,0,0,0.02,0.37,0.54,14,696,0.33,10,0.03,5.16,3.77
9.9556E+12,1056,2,77,0,38.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,10,343,0.11,16,0,5.14,4.23
9.9556E+12,1118,8,846.06,1,105.75,0.38,0,0.05,0.06,0.2,0.17,0,0.05,0,0,0,0.01,0.03,0.01,0,0.43,24,701,0.29,10,0,4.47,3.29
9.9556E+12,1107,1,87.44,0,87.44,0.2,0.2,0,0,0,0,0.41,0,0,0,0,0.17,0,0,0,0.22,0,49,0.42,20,0,3.89,3.2
9.9556E+12,1106,2,120,0,60,0,0.56,0,0,0,0,0,0,0,0,0,0.02,0.4,0,0,0.47,3,145,0.41,3,0,4.28,4.28
9.9556E+12,1108,3,450.98,0,150.32,0.16,0.06,0,0,0.36,0.14,0.12,0,0,0,0,0.02,0.11,0,0,0.41,21,639,0.29,8,0,5.36,3.42
9.9556E+12,1106,5,521.2,1,104.24,0.16,0.07,0,0.05,0.23,0,0.07,0.06,0.25,0,0,0.02,0,0.01,0,0.61,17,357,0.12,20,0.05,4.27,3.24
9.9556E+12,1118,1,782.08,1,782.08,0.12,0,0,0,0.57,0.12,0,0.17,0,0,0,0,0,0,0,0.66,15,145,0.1,10,0,4.98,3.59
9.9556E+12,1106,1,79,0,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.56,6,447,0.19,10,0,6.1,5
9.9556E+12,1104,1,318.5,0,318.5,0.24,0,0,0,0.31,0.18,0,0,0.26,0,0,0,0,0,0.49,0.68,14,264,0.07,23,0,5.58,5.58
9.9556E+12,1104,12,1663.46,1,138.62,0.25,0.04,0.01,0.06,0.11,0.24,0.03,0.14,0,0,0,0.02,0.04,0.02,0,0.53,26,684,0.23,23,0,4.04,2.86
9.9556E+12,1108,3,342.97,1,114.32,0.16,0.13,0,0,0,0,0.31,0.14,0,0,0.06,0,0.15,0.02,0,0.61,7,200,0.13,20,0,4.2,2.9
9.9556E+12,1201,7,632.08,1,90.29,0.38,0.21,0,0.03,0.24,0,0.03,0,0,0,0,0,0.02,0.07,0,0.53,25,698,0.24,23,0,4.6,3.29
9.9556E+12,1267,2,139.97,0,69.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.46,1,64,0.33,8,0,3.47,3.47
9.9556E+12,1267,1,172.99,0,172.99,0,0.15,0,0.33,0,0,0.22,0,0.28,0,0,0,0,0,0,0.65,3,118,0.04,16,0,4.77,4.08
9.9556E+12,1331,5,106.38,0,21.27,0.12,0,0,0,0,0,0,0,0,0,0.15,0.02,0.08,0,0,0.53,15,369,0.14,31,1.48,4.3,3.96
9.9556E+12,1373,1,87.48,0,87.48,0.85,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.31,3,276,0.29,16,0,5.62,4.93
9.9556E+12,1452,4,491.17,1,122.79,0.19,0.07,0.15,0.22,0,0,0,0.14,0,0,0.2,0,0,0,0,0.48,16,352,0.3,16,0,4.48,3.47
9.9556E+12,1462,4,107.21,0,26.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,5,271,0.38,10,0,4.22,4.22
9.9556E+12,1452,2,215.49,0,107.74,0.2,0,0.17,0,0,0,0,0.27,0,0.34,0,0,0,0,0.27,0.55,16,692,0.21,6,0,5.85,4.75
9.9556E+12,1450,2,158.98,1,79.49,0.39,0,0.19,0,0,0,0.12,0.28,0,0,0,0,0,0,0,0.53,15,685,0.28,6,0,5.84,4.04
9.9556E+12,1473,2,117.5,0,58.75,0.17,0.06,0,0.12,0.46,0,0.08,0.08,0,0,0,0,0,0,0,-0.25,8,222,0.49,16,0,4.71,4.3
9.9556E+12,1450,1,489.93,0,489.93,0,0,0,0.22,0.16,0.08,0,0,0,0.53,0,0,0,0,0,0.6,15,468,0,4,0,6.15,5.46
9.9556E+12,1451,1,99,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,6,269,0.5,1,0,5.59,5.59
9.9556E+12,1453,1,140.39,1,140.39,0.61,0,0,0.25,0,0,0,0,0,0,0,0,0.12,0,0,0.61,16,342,0.14,4,0,5.83,5.14
9.9556E+12,1503,8,1250.23,1,156.27,0.25,0.01,0.12,0,0.21,0.24,0.01,0.01,0.01,0,0,0,0,0,0,0.49,27,586,0.21,6,0.08,4.29,3.28
